RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag
57.07334187137,23.197454076,,,,,20.89203,20.50707,19.679213
57.05095437314,23.19512466448,1.7163,0.8864,25.382,6.23,20.51438,21.056759,19.176188
57.06876653917,23.2089204866,-0.0407,0.6383,-0.444,0.114,20.198906,20.469496,19.530487
57.06070242594,23.21131152037,0.3907,0.0587,-0.517,0.705,16.527443,16.918293,15.962277
57.02303378917,23.1914882627,0.5842,0.557,-1.878,-1.078,19.812056,20.668356,18.861547
57.02556988213,23.18429164752,-0.0471,0.3097,-0.987,-2.255,19.297508,19.807566,18.693861
57.02291231734,23.18083786975,0.0617,0.0828,0.028,0.61,14.473573,14.727458,13.381044
57.02923485385,23.19538715561,0.9957,0.1419,2.276,-6.352,18.068008,19.059067,17.133678
57.00913738452,23.20150563954,0.0232,0.1551,2.446,-1.001,18.188004,18.639162,17.525156
57.00603368852,23.19457390491,,,,,20.897404,21.907804,19.508444
57.01414263427,23.19892511666,-0.4658,1.8989,10.251,-16.66,20.752176,21.454205,19.71925
57.00879331639,23.1870653865,0.1552,0.0501,5.192,-4.038,16.077011,16.394962,15.590855
57.01334484536,23.20143697714,1.3843,0.2869,26.381,-61.025,19.152782,20.36749,18.115385
57.02176445122,23.20830898841,1.5696,0.0633,17.42,-4.976,16.602583,17.417524,15.730138
57.03194157302,23.21137217616,0.9211,0.9502,-0.063,-0.427,20.58683,20.80561,19.936277
57.03566329617,23.21760005143,1.0418,0.8675,0.626,0.025,20.36654,20.823025,19.659393
57.03760009493,23.21386288593,0.8912,0.0439,3.214,-9.877,15.678674,16.13464,15.047639
57.0210903496,23.21758924905,0.7136,0.0218,0.429,-1.4,14.128487,14.504045,13.564876
57.04046088694,23.22234218935,1.2002,0.6035,-1.67,-5.866,20.087282,21.116066,19.119389
57.04352686377,23.22681141439,0.5331,0.3443,6.838,-2.674,19.408415,20.527239,18.339294
57.04028532387,23.23492051269,0.3767,0.1526,2.473,0.213,18.359377,18.9751,17.61833
56.89003793686,23.11209614739,0.6025,0.152,5.535,-5.905,17.89713,18.628553,17.0989
56.84672769674,23.1130639167,0.7105,0.2295,1.158,-0.906,18.193401,18.540539,17.578974
56.85108998642,23.12017833344,1.6861,0.517,7.039,-3.763,19.69075,21.086403,18.496761
56.85744267903,23.11714655723,0.3465,0.0412,1.054,-5.214,15.620872,16.038097,15.041867
56.83671007708,23.11898655873,1.5403,0.0701,20.984,-27.567,16.383915,17.10676,15.557349
56.85161764031,23.12713640107,0.2647,0.2905,-0.46,-1.166,18.983892,19.418919,18.544195
56.84434741829,23.1168401381,-0.7449,1.3809,-1.863,-14.338,20.501606,20.943665,19.341505
56.84753853265,23.12047294571,2.0797,0.2833,30.32,-9.345,15.791377,16.447887,14.897378
56.869340239,23.12572254688,0.3054,0.1724,-0.379,-1.323,18.272263,18.656075,17.804094
56.86158847425,23.13141422425,0.964,0.0531,10.411,-13.482,16.190527,16.771114,15.462687
56.87876191624,23.12880263167,,,,,20.66905,21.474955,19.498217
56.85149910936,23.13512657771,0.3499,0.2274,3.467,-1.755,18.548094,19.173365,17.820744
56.85765126122,23.14785368196,0.3244,0.5062,4.032,-2.575,19.812288,21.146868,18.672623
56.90950184992,23.13003913012,0.4413,0.1749,6.188,-4.183,18.201818,18.608137,17.559351
56.91423773914,23.13701435726,1.1306,0.8326,2.083,10.413,20.104776,21.117146,18.951092
56.89312713932,23.13366995791,0.1441,0.2246,-0.227,-0.433,18.564173,18.998919,18.076775
56.90405467743,23.13145300106,7.0413,1.3071,-1.938,13.007,20.557901,21.273104,19.052803
56.90096341132,23.13297698398,,,,,20.809435,20.944786,19.753164
56.92705117412,23.14987370614,1.0092,0.501,2.596,-3.401,19.683834,21.219227,18.504704
56.93811133178,23.16113644485,0.721,0.6299,12.924,-8.381,19.946451,20.628695,18.857985
56.94569349201,23.15087293256,-0.3931,1.0642,2.104,-0.197,20.418398,21.29967,19.318277
56.93760163532,23.15167938346,-0.3386,1.1878,3.613,-23.346,20.577137,21.047066,19.707884
56.92851494356,23.1689576616,0.8732,0.221,4.823,-5.04,18.556784,19.450869,17.699678
56.93469710261,23.16627255301,0.5047,0.0408,-0.17,0.789,15.364758,15.734364,14.809951
56.89367307801,23.14900358245,1.0991,0.2371,7.257,-8.152,18.650583,19.938755,17.53137
56.88045423141,23.14845506806,0.2243,0.173,3.175,-3.927,18.322947,18.795202,17.69177
56.89550825069,23.15096992197,0.6829,0.0409,-2.194,-4.064,15.675767,16.063702,15.108374
56.87456094372,23.15697399936,0.8587,0.0817,4.973,-2.949,16.994347,17.700598,16.201561
56.88693692934,23.16141030778,0.5632,0.2004,6.414,2.228,18.358273,19.1335,17.563042
56.88372999489,23.16696877468,0.3298,0.1939,1.57,1.896,18.471483,19.211166,17.72697
56.89364345202,23.16304222002,,,,,20.850155,20.925608,19.935785
