RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag,galactic_l,galactic_b,rel_e_Plx
56.87399035211,23.24347389202,0.985,0.1875,1.65,-7.221,18.426485,19.375761,17.534534,167.30657760848908,-24.088639077336193,0.1903553299492386
56.94213280972,23.26400233663,0.6037,0.0415,2.371,-2.857,15.678613,16.117933,15.073563,167.3417632232162,-24.03111696765651,0.06874275302302468
56.97125612527,23.26062097015,2.1097,0.2225,4.233,-6.288,18.492336,20.027142,17.327219,167.365804168697,-24.015460385909464,0.10546523202351045
56.97573388267,23.27458512781,0.8229,0.043,36.091,-30.56,15.829683,16.225878,15.258028,167.3587462740338,-24.002408486161357,0.05225422287033661
56.9835104949,23.26651366922,2.1627,0.0238,-4.055,-12.322,14.404199,14.947926,13.701633,167.3704854844685,-24.003494547923896,0.011004762565311878
56.99488493464,23.27918694485,1.7661,0.274,-5.396,-8.447,19.058393,20.470598,17.932531,167.3694799044448,-23.987094902400994,0.1551441028254346
56.98927373275,23.27396264487,1.712,0.0422,21.534,2.533,15.701272,16.345947,14.929355,167.36921323045513,-23.99442993962187,0.024649532710280374
56.93015560617,23.28649162255,0.7369,0.0913,-5.046,-0.753,17.12461,17.720322,16.387058,167.3162167539711,-24.022039989243144,0.12389740806079523
57.25445128961,23.18652619544,1.6103,0.1054,-1.833,-14.702,17.62918,18.811296,16.552816,167.62981268270332,-23.892951267044655,0.06545364217847606
57.1926512283,23.15627736433,0.7787,0.0872,4.352,-9.356,17.394796,18.125216,16.584332,167.60681344535647,-23.953786522567913,0.11198150764094003
57.24911039741,23.20188117545,7.3612,0.2389,21.466,-43.402,17.961342,20.240393,16.4562,167.6144451204997,-23.88504912711062,0.03245394772591425
57.24380099865,23.20099631153,7.1485,0.0521,22.18,-41.072,11.324861,11.782931,10.702197,167.61119506274375,-23.889019839875736,0.007288242288592012
57.23197709176,23.20279953705,2.5365,0.069,-1.507,-17.923,16.88611,17.955704,15.883672,167.60114604103717,-23.895097569430003,0.027202838557066823
57.18453284619,23.19362970236,1.3962,0.0162,-1.766,-2.854,13.782237,14.182537,13.208653,167.57301992817173,-23.931493610574872,0.011602922217447355
57.18040532908,23.19019462777,1.5463,0.0159,-6.438,-5.697,13.21317,13.626353,12.623603,167.57253460089424,-23.936592357171083,0.010282610101532691
57.22824888011,23.22308068397,1.612,0.2819,-2.0,-3.517,19.217434,20.792856,18.038532,167.5833023787178,-23.882572220472113,0.1748759305210918
57.2031452818,23.21414012338,0.7537,0.036,1.883,-4.566,15.64582,16.058624,15.053113,167.5714683052534,-23.904823217066166,0.04776436247843969
57.21871648251,23.22729279099,1.536,0.0748,4.44,0.669,16.909838,17.81198,15.976483,167.57314795966013,-23.885447837587964,0.04869791666666667
57.28283531735,23.19506887945,0.617,0.0804,5.516,-3.397,16.94161,17.44493,16.30006,167.6443411932506,-23.868926045085903,0.13030794165316045
57.30068166908,23.21547670887,6.9499,0.3165,59.249,-8.115,19.220936,21.258917,17.823357,167.6422687227676,-23.84281223512504,0.045540223600339574
57.30137654976,23.22814047452,7.451,0.0183,19.729,-46.045,13.63343,14.518898,12.701284,167.63334770018915,-23.833106910209334,0.0024560461682995574
57.36355905985,23.22983510011,0.9727,0.018,-1.559,-0.21,13.760182,14.109641,13.23299,167.67779272900248,-23.7929235003386,0.01850519173434769
57.35175106737,23.23835666304,0.3656,0.038,0.558,-1.127,15.63234,16.025894,15.055131,167.6627681290059,-23.794085994678987,0.10393873085339168
57.32589143344,23.22486619103,1.3805,0.0299,-7.222,-2.782,14.871339,15.342834,14.230638,167.65381208688385,-23.82015371703361,0.02165881926838102
57.3243926756,23.22387061929,1.5112,0.1181,19.792,5.556,17.803112,18.850435,16.771542,167.65345188409444,-23.82182091952117,0.07814981471678135
57.31556262144,23.24478331572,0.5028,0.084,1.202,0.537,17.226171,17.83088,16.51274,167.6313841498728,-23.812043238822316,0.16706443914081145
57.3613348544,23.26184002405,2.4203,0.2753,-0.812,-7.626,19.16412,20.707047,17.89118,167.65231583393796,-23.77090149249568,0.11374622980622236
57.33584743277,23.26171662255,2.2215,0.2988,2.187,-4.03,19.286575,20.733694,18.078215,167.6336830526405,-23.78695036636985,0.13450371370695477
57.33091593674,23.25592841787,1.3837,0.019,-12.98,-1.124,14.034884,14.437948,13.453736,167.63436953037623,-23.794274035497438,0.013731300137313001
57.27819085766,23.21932262161,1.5271,0.1059,22.497,-20.919,17.641182,18.738745,16.59686,167.6228594407183,-23.854076296465873,0.06934712854429965
57.26456015945,23.22403441871,0.6893,0.0461,1.961,-13.042,16.050964,16.496887,15.436078,167.60932117481812,-23.859156575123496,0.06687944291310025
57.29412757847,23.23328197041,0.9383,0.0981,-0.456,1.884,17.447548,18.30004,16.548378,167.624187484483,-23.833880567599053,0.10455078333155708
57.28022087037,23.23533432815,1.5156,0.1373,8.317,-9.084,18.049109,19.20804,17.036377,167.61243010701895,-23.84108153904362,0.09059118500923727
57.23924658376,23.23293617057,7.0976,0.3763,18.162,-43.086,19.3749,21.68438,17.927925,167.58406324974942,-23.868473177838716,0.053017921550946805
57.22968351449,23.23942431871,3.2205,0.0585,-1.208,-9.863,16.382227,17.78827,15.225266,167.57219421560407,-23.869700685383282,0.01816488122962273
57.24809806233,23.24811412535,2.9053,0.4029,-6.631,-14.743,19.66431,18.649263,17.63768,167.57928121880423,-23.851818034525877,0.13867758923346987
57.25981898023,23.25223911266,7.2668,0.0209,19.731,-44.428,11.473286,11.914596,10.86683,167.58483590571933,-23.841465408799884,0.002876094016623548
57.26134928731,23.25676264201,0.7867,0.042,5.528,-4.816,15.781454,16.308992,15.101131,167.58259501396304,-23.837194832215552,0.053387568323376135
57.25750363405,23.25899404868,1.7334,0.1516,-3.668,-0.431,18.101778,19.431442,17.001522,167.57810488363504,-23.83796555860113,0.08745817468558902
57.24867322768,23.24832615143,2.7179,0.0234,-6.891,-14.615,14.540757,15.211059,13.754311,167.57954669558467,-23.851302985623327,0.008609588285073034
57.26434722395,23.26232415473,3.0401,0.4848,16.392,-18.605,19.829472,20.900661,18.628212,167.58066135373838,-23.83124605146322,0.159468438538206
57.2597456827,23.27125246707,0.5325,0.0543,4.4,-2.391,16.383831,16.833057,15.771225,167.57063181385698,-23.827583710725342,0.1019718309859155
57.26091400682,23.26038434771,0.5656,0.0775,-2.673,0.496,16.93584,17.384987,16.332811,167.579579290302,-23.83481421178683,0.13702263083451202
57.31372951699,23.26128128248,1.234,0.0251,-5.99,-8.837,14.534106,14.958411,13.940973,167.61775173704072,-23.801113610207093,0.02034035656401945
57.29509589513,23.26228453084,1.0438,0.0351,-5.975,0.088,15.515595,15.989841,14.866594,167.603305668252,-23.812039570044558,0.03362713163441272
57.29459114523,23.26716245861,0.9596,0.0193,-4.815,-2.124,8.387087,9.381275,7.409191,167.5993033541649,-23.808783585812183,0.020112546894539392
57.30776188936,23.2785129152,1.3699,0.0477,-2.754,4.314,16.174675,16.848896,15.392916,167.6005368392217,-23.79223223675754,0.03482005985838382
57.32224376213,23.28418204377,0.6882,0.076,0.461,-0.897,17.090706,17.639341,16.406603,167.6069600992531,-23.779020368267723,0.1104330136588201
57.28378835312,23.27097015468,0.977,0.1846,-3.089,-3.472,18.55825,19.106256,17.854013,167.58852562244647,-23.81275337018644,0.18894575230296826
57.28684554478,23.26777341641,0.77,0.0156,3.836,-7.583,13.483664,13.731743,13.082339,167.59315314767824,-23.81318198593118,0.02025974025974026
57.28253386741,23.29034839596,0.716,0.1309,4.473,-3.781,18.01917,18.931948,17.098253,167.57318177171285,-23.79934557971848,0.1828212290502793
57.27864001008,23.28333628818,0.9454,0.0971,-3.099,-8.346,17.49202,18.25618,16.636217,167.57553654354652,-23.806916600953198,0.10270784852972287
57.30610970974,23.28030690379,1.6815,0.128,7.218,-7.87,17.891598,19.40819,16.725937,167.5979870328415,-23.791952388080254,0.07612250966399049
57.40994124612,23.24579141427,0.9733,0.1705,0.84,-5.61,18.342894,19.266079,17.3747,167.6999633619223,-23.752188307404474,0.17517723209698963
57.42150191542,23.24965822918,7.6592,0.2019,21.223,-44.595,17.65794,19.77989,16.17125,167.70556652203697,-23.742114799844316,0.02636045540004178
57.42145879026,23.25915735159,1.0509,0.0932,5.705,-4.906,17.12122,17.916603,16.043522,167.69845551905397,-23.735196471680545,0.08868588828623086
57.52542263639,23.31272401834,1.2085,0.0511,9.492,-5.661,15.805202,16.463797,15.017773,167.7347419758763,-23.630867778324262,0.04228382292097642
57.54137483674,23.32537432081,0.5156,0.0916,1.65,-2.319,17.093262,17.599607,16.399616,167.73699174145045,-23.611622553169905,0.17765709852598915
57.518968959,23.32505272467,1.5963,0.0186,16.208,-14.847,13.59059,14.113914,12.905103,167.7208271006263,-23.625907825287975,0.011651945123097161
57.50574273991,23.34047478092,2.2219,0.298,72.475,-32.56,19.060452,20.588715,17.819952,167.69964954953713,-23.62293028722749,0.13411944731986136
57.51974004652,23.35030535603,0.8471,0.1415,-0.414,-1.703,17.897846,18.706472,17.050823,167.70257442409553,-23.606973588499127,0.1670404910872388
57.55825579557,23.36093439593,4.5847,0.3114,18.2,-3.047,19.001225,20.716991,17.767643,167.72284244734104,-23.575062827217113,0.06792156520601131
